chr,pos,gene_id,dist_to_tss,n_variant,n_reference,mean_ase_variant,mean_ase_reference,cohens_d,abs_ase_variant,abs_ase_reference,mw_p,t_p,condition,fdr_mw
chr1,1832780,Zm00001eb000420,1786,10,8,0.0032377713507937165,0.09096043627587296,-0.4685993265284443,0.10265991532357208,0.1815706687858852,0.5726038667215138,0.37780813064699686,WW,0.7915398163803817
chr1,2147245,Zm00001eb000510,82,5,13,0.17429248793696533,0.052776368656251564,0.28005528963087645,0.4869714866855017,0.12379701659128194,0.11718020541549955,0.7611959439081359,WW,0.33502078745901187
chr1,2626963,Zm00001eb000620,13,3,15,0.1644912771797499,0.047195011596084566,0.5817897238638967,0.1644912771797499,0.14804530850522785,0.3014705882352941,0.0629406414631224,WW,0.568752324026129
chr1,2764254,Zm00001eb000650,818,13,6,0.02297770091378308,0.6857011359416122,-0.9724763134675237,0.6122337409297498,0.6857011359416122,0.03648827952233525,0.01992811288749474,WW,0.170391958786458
chr1,2764342,Zm00001eb000650,730,4,15,0.8526608107211799,0.06681824564294223,1.1640365622296152,0.8526608107211799,0.5775068136567802,0.12435500515995872,0.07294448543630838,WW,0.35057136376406806
chr1,2800319,Zm00001eb000670,455,3,6,-1.2681899661230662,-0.47585095950111994,-1.0822712668553784,1.2681899661230662,0.6098648480150815,0.38095238095238093,0.07465465260049584,WW,0.6486530704352486
chr1,2800713,Zm00001eb000670,61,3,16,-1.2681899661230662,-0.9634804039326342,-0.45305053600889267,1.2681899661230662,1.0137356121253696,0.9576883384932922,0.13035018830606282,WW,1.0
chr1,2804823,Zm00001eb000680,54,9,3,-0.2826656355183167,-1.850371707708594e-17,-0.28115640250150514,0.7555192005785522,0.19300441146332323,1.0,0.503708792845959,WW,1.0
chr1,2924867,Zm00001eb000770,311,5,7,-0.2706371252908494,-0.366623585415331,0.9071571361798415,0.2706371252908494,0.366623585415331,0.148989898989899,0.1157677945593392,WW,0.3876353399703723
chr1,3041634,Zm00001eb000840,962,14,4,0.7021672194613001,0.0014288168447869898,0.7775842353281617,0.75604743988328,0.7803971377053933,0.23267973856209148,0.2649179998630933,WW,0.49694994572314827
